GEOID,NAME,variable,value,summary_value,FIPS
05131,"Sebastian County, Arkansas",White,91585,125744,05131
05133,"Sevier County, Arkansas",White,10416,17058,05133
05135,"Sharp County, Arkansas",White,16399,17264,05135
05137,"Stone County, Arkansas",White,11912,12394,05137
05139,"Union County, Arkansas",White,25722,41639,05139
05141,"Van Buren County, Arkansas",White,16282,17295,05141
05143,"Washington County, Arkansas",White,150546,203065,05143
05145,"White County, Arkansas",White,69026,77076,05145
05149,"Yell County, Arkansas",White,17020,22185,05149
06011,"Colusa County, California",White,8524,21419,06011
06007,"Butte County, California",White,165416,220000,06007
06001,"Alameda County, California",White,514559,1510271,06001
06003,"Alpine County, California",White,852,1175,06003
06005,"Amador County, California",White,30325,38091,06005
06009,"Calaveras County, California",White,38074,45578,06009
06013,"Contra Costa County, California",White,500923,1049025,06013
06015,"Del Norte County, California",White,18513,28610,06015
06031,"Kings County, California",White,53879,152982,06031
06021,"Glenn County, California",White,15717,28122,06021
06023,"Humboldt County, California",White,103958,134623,06023
06025,"Imperial County, California",White,23927,174528,06025
06017,"El Dorado County, California",White,144689,181058,06017
06019,"Fresno County, California",White,304522,930450,06019
06027,"Inyo County, California",White,12296,18546,06027
06029,"Kern County, California",White,323794,839631,06029
06043,"Mariposa County, California",White,15192,18251,06043
06033,"Lake County, California",White,47938,64665,06033
06035,"Lassen County, California",White,23270,34895,06035
06037,"Los Angeles County, California",White,2728321,9818605,06037
06039,"Madera County, California",White,57380,150865,06039
06041,"Marin County, California",White,183830,252409,06041
06059,"Orange County, California",White,1328499,3010232,06059
06045,"Mendocino County, California",White,60249,87841,06045
06047,"Merced County, California",White,81599,255793,06047
06049,"Modoc County, California",White,7649,9686,06049
06051,"Mono County, California",White,9687,14202,06051
06053,"Monterey County, California",White,136435,415057,06053
06055,"Napa County, California",White,76967,136484,06055
06057,"Nevada County, California",White,85477,98764,06057
06071,"San Bernardino County, California",White,677598,2035210,06071
06067,"Sacramento County, California",White,687166,1418788,06067
06069,"San Benito County, California",White,21154,55269,06069
06061,"Placer County, California",White,265294,348432,06061
06063,"Plumas County, California",White,17015,20007,06063
06065,"Riverside County, California",White,869068,2189641,06065
01001,"Autauga County, Alabama",White,42154,54571,01001
01007,"Bibb County, Alabama",White,17191,22915,01007
01017,"Chambers County, Alabama",White,19893,34215,01017
01019,"Cherokee County, Alabama",White,23929,25989,01019
01025,"Clarke County, Alabama",White,13943,25833,01025
01013,"Butler County, Alabama",White,11324,20947,01013
01009,"Blount County, Alabama",White,50952,57322,01009
01011,"Bullock County, Alabama",White,2392,10914,01011
01021,"Chilton County, Alabama",White,35395,43643,01021
01023,"Choctaw County, Alabama",White,7700,13859,01023
01037,"Coosa County, Alabama",White,7604,11539,01037
01027,"Clay County, Alabama",White,11186,13932,01027
01029,"Cleburne County, Alabama",White,13956,14972,01029
01031,"Coffee County, Alabama",White,36134,49948,01031
01035,"Conecuh County, Alabama",White,6764,13228,01035
